meanfreq,sd,median,Q25,Q75,IQR,kurt,sp.ent,sfm,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
[2889.15287739],0.03629638,0.4292886,0.21317573636770248,0.6803378015756607,0.4671620652079582,-0.95695955,0.0008162403,0.0008162403,2500.076298634502,-12.646739,-461.51025,221.72844,-12.646739,-461.51025,221.72844,683.2387,-12.646739,male
[2748.26800384],0.06092641,0.30068672,0.11720654554665089,0.6035277247428894,0.4863211791962385,-0.6251576,0.0013575424,0.0013575424,2595.5148776524316,-13.164187,-483.68417,234.1135,-13.164187,-483.68417,234.1135,717.79767,-13.164187,male
[2732.93998703],0.06988798,0.34121346,0.11854634247720242,0.6495457887649536,0.5309994462877512,-1.000029,0.0014636997,0.0014636997,2522.5218464993195,-12.201127,-500.48175,253.2398,-12.201127,-500.48175,253.2398,753.72156,-12.201127,male
[2639.14106396],0.061994195,0.31799793,0.13735327124595642,0.6055325418710709,0.46817927062511444,-0.64287543,0.0011020846,0.0011020846,2575.7347654440987,-11.893439,-478.3195,228.7434,-11.893439,-478.3195,228.7434,707.06287,-11.893439,male
[2943.241942],0.05596815,0.40180355,0.15910274535417557,0.6852756887674332,0.5261729434132576,-1.0265089,0.002591476,0.002591476,3097.4464853077125,-12.865181,-504.69974,240.85062,-12.865181,-504.69974,240.85062,745.55035,-12.865181,male
[2649.11131142],0.06330142,0.31390947,0.11994021572172642,0.6147637814283371,0.4948235657066107,-0.7816712,0.0012366748,0.0012366748,2503.067731598758,-12.353508,-490.8326,247.36264,-12.353508,-490.8326,247.36264,738.19525,-12.353508,male
[2977.35884664],0.041664194,0.4347518,0.18038048222661018,0.7001958638429642,0.519815381616354,-1.0550718,0.0020735455,0.0020735455,2811.4757624836006,-14.614094,-505.0082,239.00015,-14.614094,-505.0082,239.00015,744.00836,-14.614094,male
[2934.38498879],0.048506185,0.4145779,0.16942117735743523,0.6893451660871506,0.5199239887297153,-1.0705842,0.0025508613,0.0025508613,2725.055964645638,-13.822695,-516.5213,240.94586,-13.822695,-516.5213,240.94586,757.46716,-13.822695,male
[2833.59038345],0.05181078,0.3407855,0.118848392739892,0.6527263075113297,0.5338779147714376,-0.97216827,0.0015656158,0.0015656158,2819.902170404766,-14.229738,-495.46606,234.64095,-14.229738,-495.46606,234.64095,730.107,-14.229738,male
[2715.23448727],0.05312725,0.3989305,0.20666935294866562,0.6530678272247314,0.4463984742760658,-0.68525887,0.0014281382,0.0014281382,2555.2531158363786,-12.0177,-462.96222,246.28658,-12.0177,-462.96222,246.28658,709.2488,-12.0177,male
[2748.73427619],0.06636039,0.3212241,0.1293235719203949,0.6201350837945938,0.4908115118741989,-0.8209782,0.0015922758,0.0015922758,2572.668398226752,-12.959534,-487.46045,242.71747,-12.959534,-487.46045,242.71747,730.1779,-12.959534,male
[2774.64571631],0.044910002,0.40265152,0.18303707987070084,0.6696086376905441,0.4865715578198433,-0.9526256,0.0016634995,0.0016634995,2627.904655163438,-13.250059,-489.75507,239.13113,-13.250059,-489.75507,239.13113,728.8862,-13.250059,male
